Fecha,Temperatura,Precipitacion
2024-01-01,24.914,0
2024-01-02,22.216,0
2024-01-03,24.97,0
2024-01-04,23.698,0
2024-01-05,25.131,0
2024-01-06,26.396,0
2024-01-07,25.632,0
2024-01-08,26.95,0
2024-01-09,26.952,0
2024-01-10,26.078,0
2024-01-11,26.574,0
2024-01-12,26.31,0
2024-01-13,26.198,0
2024-01-14,25.624,0
2024-01-15,26.987,0
2024-01-16,27.255,0
2024-01-17,25.115,0
2024-01-18,27.367,0
2024-01-19,27.678,0
2024-01-20,24.279,0
2024-01-21,22.837,0
2024-01-22,26.759,0
2024-01-23,27.423,0
2024-01-24,28.294,0
2024-01-25,28.542,0
2024-01-26,27.334,0
2024-01-27,28.212,0
2024-01-28,23.923,0
2024-01-29,21.369,0
2024-01-30,24.638,0
2024-01-31,24.695,0
2024-02-01,25.358,0
2024-02-02,26.824,0
2024-02-03,25.204,0
2024-02-04,26.917,0
2024-02-05,25.786,0
2024-02-06,22.923,0
2024-02-07,24.895,0
2024-02-08,27.069,0
2024-02-09,27.224,0
2024-02-10,27.235,0
2024-02-11,29.008,0
2024-02-12,28.72,0
2024-02-13,26.02,0
2024-02-14,25.873,0
2024-02-15,26.257,0
2024-02-16,27.738,0
2024-02-17,27.363,0
2024-02-18,26.312,2.971
2024-02-19,25.299,0
2024-02-20,26.013,0
2024-02-21,25.259,3.125
2024-02-22,28.9,0
2024-02-23,29.094,0
2024-02-24,28.277,0
2024-02-25,28.023,0
2024-02-26,28.099,0
2024-02-27,28.78,0
2024-02-28,29.929,0
2024-02-29,28.899,0
2024-03-01,28.689,0
2024-03-02,26.304,0
2024-03-03,26.317,0
2024-03-04,27.252,0
2024-03-05,27.584,0
2024-03-06,28.202,0
2024-03-07,28.54,0
2024-03-08,28.323,0
2024-03-09,30.129,0
2024-03-10,28.91,0
2024-03-11,28.681,0
2024-03-12,28.616,0
2024-03-13,30.064,0
2024-03-14,29.229,0
2024-03-15,30.671,3.939
2024-03-16,29.026,0
2024-03-17,28.217,0
2024-03-18,29.425,0
2024-03-19,27.828,0
2024-03-20,30.036,0
2024-03-21,30.348,0
2024-03-22,30.555,0
